iid1	iid2	Nonnormalized_P0	Nonnormalized_P0_serr	OverlapNSNPs
Sample43	Sample38	0.230336690249579	0.0033856031048703	43393
Sample43	Sample26	0.258234928527035	0.0074652161703473	6436
Sample43	Sample52	0.258279266572638	0.0035255770036743	53175
Sample43	Sample50	0.265273432611688	0.0037672809410579	39955
Sample43	Sample40	0.273299189418075	0.0051466625237602	24797
Sample43	Sample47	0.266415597058899	0.0039710562701095	39033
Sample43	Sample32	0.236251478789927	0.0036665468984383	59170
Sample43	Sample33	0.235350674323727	0.0041395221768502	38483
Sample43	Sample14	0.268703127858057	0.0037029814441504	43736
Sample43	Sample9	0.270730746503841	0.0037302990466435	40616
Sample43	Sample11	0.263173990020924	0.0037038593837736	62130
Sample43	Sample53	0.264614242125825	0.0031803400513905	61943
Sample43	Sample46	0.247420527900057	0.003781860679732	57473
Sample43	Sample55	0.272794662713121	0.0042548409290427	37772
Sample43	Sample34	0.266034910672164	0.0035371751197464	48753
Sample43	Sample5	0.222650475184794	0.0049879162078445	18940
Sample43	Sample39	0.275325396024619	0.0038363340002766	39644
Sample43	Sample49	0.263384695743014	0.0049820843013275	22974
Sample43	Sample56	0.271467391304348	0.0035488243164676	51520
Sample43	Sample20	0.267845372416735	0.0046886981425883	25791
Sample43	Sample36	0.276375576266127	0.0049830032528	30151
Sample43	Sample37	0.26854401551757	0.0034080332727224	57741
Sample43	Sample41	0.263773667772789	0.0027796714050534	81968
Sample43	Sample28	0.277220812182741	0.0052553724555612	15760
Sample43	Sample2	0.271887966804979	0.0034325293978048	48200
Sample43	Sample29	0.275695362103974	0.0041244362372165	31027
Sample43	Sample30	0.264456825633083	0.0036647808762331	49717
Sample43	Sample3	0.272204753693749	0.0045676996497375	29577
Sample43	Sample8	0.2722020842773	0.0069656542972926	8828
Sample43	Sample42	0.267495569042376	0.0041587105352517	37238
Sample43	Sample35	0.269001766591786	0.0037533992202339	45851
Sample43	Sample12	0.264638245179551	0.006197365138918	11306
Sample43	Sample21	0.277632071937055	0.0064054887281546	10676
Sample43	Sample16	0.266964168526053	0.0057671272380131	15238
Sample43	Sample19	0.268596872559985	0.0036617008293855	47387
