Genetic ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Date BP	Lat.	Long.	SNPS	Molecular Sex	Label	Group
abh154.HO	0.0222	0.0465	0.0325	0.014	0.0063	0.0128	-0.0042	-0.0064	0.002	0.0088	0	43.003333	41.015278	592580	M	Abkhasian.HO	Modern Westeurasian populations
abh147.HO	0.0194	0.0507	0.033	0.0148	0.0075	0.0129	0.0016	-0.0055	0.0092	0.0075	0	43.003333	41.015278	592322	M	Abkhasian.HO	Modern Westeurasian populations
abh133.HO	0.0193	0.0554	0.0353	0.016	0.0024	0.0122	-0.0045	-0.0101	0.0097	0.0098	0	43.003333	41.015278	590709	M	Abkhasian.HO	Modern Westeurasian populations
abh122.HO	0.0174	0.0447	0.0267	0.0143	0.007	0.0086	0.0006	-0.0043	0.0092	0.0082	0	43.003333	41.015278	592494	M	Abkhasian.HO	Modern Westeurasian populations
abh119.HO	0.02	0.0493	0.0323	0.014	0.007	0.0082	-0.0029	-0.0076	0.0044	0.0084	0	43.003333	41.015278	591093	M	Abkhasian.HO	Modern Westeurasian populations
abh41.HO	0.0176	0.0598	0.0311	0.0197	0.0156	0.0065	-0.0008	-0.0135	0.0091	0.0136	0	43.003333	41.015278	587206	M	Abkhasian.HO	Modern Westeurasian populations
abh27.HO	0.0173	0.0484	0.0303	0.0188	0.0103	0.0081	-0.0013	-0.008	0.0091	0.0096	0	43.003333	41.015278	592348	M	Abkhasian.HO	Modern Westeurasian populations
abh24.HO	0.025	0.0461	0.0287	0.0026	0.008	0.0074	0.0054	-0.0059	0.0128	0.0079	0	43.003333	41.015278	591910	M	Abkhasian.HO	Modern Westeurasian populations
Adg-185.HO	0.011	0.0509	0.0155	0.0135	0.0069	0.0103	-0.0021	-0.009	0.0048	0.0065	0	45	40.22	584492	F	Adygei.HO	Modern Westeurasian populations
HGDP01404.HO	0.0121	0.0568	0.0103	0.0079	0.0047	0.0063	-0.0054	-0.0058	0.0106	0.002	0	44	39	592554	M	Adygei.HO	Modern Westeurasian populations
HGDP01403.HO	0.0086	0.0441	0.0152	0.0115	0.0076	0.0086	-0.002	-0.0009	0.0066	0.0065	0	44	39	585902	M	Adygei.HO	Modern Westeurasian populations
HGDP01402.HO	0.0054	0.0472	0.0213	0.0073	0.0078	0.0084	-0.0056	-0.0015	0.0027	0.0037	0	44	39	592113	M	Adygei.HO	Modern Westeurasian populations
HGDP01401.HO	0.0108	0.0511	0.02	0.0057	0.0078	0.0026	-0.0013	0.0029	0.0086	0.0008	0	44	39	592653	F	Adygei.HO	Modern Westeurasian populations
HGDP01400.HO	0.0107	0.051	0.0161	0.0089	0.0042	0.0023	0.0031	-0.0071	0.0141	0.0077	0	44	39	592064	F	Adygei.HO	Modern Westeurasian populations
HGDP01398.HO	0.0137	0.0526	0.0222	0.0132	0.0063	0.0031	-0.0048	-0.0059	0.0075	0.0068	0	44	39	592660	F	Adygei.HO	Modern Westeurasian populations
HGDP01397.HO	0.0069	0.0547	0.0085	0.0043	0.0017	0.0081	0.0013	-0.0021	0.0008	0.0057	0	44	39	591733	M	Adygei.HO	Modern Westeurasian populations
HGDP01387.HO	0.0092	0.0492	0.0179	0.0124	0.0044	0.0104	-0.007	-0.0102	0.0124	0.0042	0	44	39	591887	F	Adygei.HO	Modern Westeurasian populations
HGDP01386.HO	0.01	0.0472	0.0219	0.0091	0.0043	0.0035	0.001	0.0042	0.0011	0.0046	0	44	39	592073	F	Adygei.HO	Modern Westeurasian populations
HGDP01385.HO	0.0075	0.0512	0.0095	0.011	0.0072	0.0046	-0.0001	-0.0074	0.008	0.0061	0	44	39	592536	M	Adygei.HO	Modern Westeurasian populations
HGDP01383.HO	0.0095	0.0484	0.0201	0.0159	0.0047	0.0106	-0.0046	-0.0055	0.0105	0.0098	0	44	39	592336	M	Adygei.HO	Modern Westeurasian populations
HGDP01382.HO	0.0078	0.05	0.0142	0.0118	0.0061	0.0026	0.0002	-0.0021	0.0091	0.002	0	44	39	592732	F	Adygei.HO	Modern Westeurasian populations
HGDP01381.HO	0.007	0.0573	0.0127	0.0081	0.002	0.0062	0.0002	-0.0026	0.0033	0.0014	0	44	39	591803	F	Adygei.HO	Modern Westeurasian populations
Shap-55.HO	0.011	0.0492	0.0161	0.0121	0.0061	0.0094	-0.0042	-0.004	0.0083	0.0021	0	44.15	39.12	584456	F	Adygei.HO	Modern Westeurasian populations
Shap-156.HO	0.0109	0.0498	0.0205	0.0142	0.0066	0.0078	-0.0046	-0.0088	0.009	0.0057	0	44.15	39.12	584797	M	Adygei.HO	Modern Westeurasian populations
Shap-225.HO	0.0108	0.0491	0.0158	0.0087	0.0017	0.0074	-0.0011	-0.0079	0.0083	0.0104	0	44.15	39.12	585014	M	Adygei.HO	Modern Westeurasian populations
YY-2.HO	0.0098	0.0507	0.0195	0.0061	0.0085	0.0084	-0.0036	-0.0052	0.0046	0.0036	0	44.89	39.24	584420	M	Adygei.HO	Modern Westeurasian populations
YY-18.HO	0.008	0.0485	0.0186	0.0122	0.0072	0.0051	-0.0014	-0.0026	0.0055	0.0065	0	44.89	39.24	584701	M	Adygei.HO	Modern Westeurasian populations
YY-36.HO	0.0103	0.0544	0.015	0.0092	0.0075	0.0048	0	-0.0096	0.0108	0.006	0	44.89	39.24	584641	M	Adygei.HO	Modern Westeurasian populations
HGDP01396.HO	-0.0018	0.0436	0.0005	0.0099	-0.0018	0.0077	-0.0031	-0.0079	0.0041	0.006	0	44	39	589795	M	Adygei.HO	Modern Westeurasian populations
NA13626.HO	0.0089	0.0552	0.0109	0.0095	0.007	0.0114	0.0008	-0.0039	0.0068	0.006	0	44	39	591622	M	Adygei.HO	Modern Westeurasian populations
HGDP01399.HO	0.0109	0.05	0.0212	0.0077	0.0087	0.0069	-0.007	-0.0105	0.0093	0.0062	0	44	39	591807	F	Adygei.HO	Modern Westeurasian populations
Adg-227.HO	0.0131	0.0546	0.0222	0.0049	0.0064	0.0107	-0.003	-0.0005	0.0141	0.0044	0	45	40.22	584780	F	Adygei.HO	Modern Westeurasian populations
Adg-192.HO	0.0068	0.0516	0.0108	0.0129	0.0054	0.0044	0.0004	-0.0046	0.0085	0.0038	0	45	40.22	584509	M	Adygei.HO	Modern Westeurasian populations
Adg-194.HO	0.007	0.0494	0.0055	0.0056	0.004	0.0157	0.0019	-0.0061	0.005	0.0063	0	45	40.22	584799	M	Adygei.HO	Modern Westeurasian populations
lpgh-303.HO	0.0076	0.0513	0.0157	0.0059	0.0065	0.0054	-0.0034	-0.0044	0.0037	0.0047	0	44.89	39.24	584820	M	Adygei.HO	Modern Westeurasian populations
Adg-222.HO	0.0024	0.0392	0.0093	0.009	0.0035	0.0071	-0.0055	-0.0081	0.0091	0.0027	0	45.01	40.22	584280	M	Adygei.HO	Modern Westeurasian populations
Adg-238.HO	0.0071	0.0519	0.0131	0.0019	0.0046	0.0077	0.0008	-0.0064	0.003	0.0011	0	45	38.75	584818	M	Adygei.HO	Modern Westeurasian populations
Adg-224.HO	0.009	0.0509	0.0174	0.0042	0.0076	0.0076	-0.0048	-0.0111	0.0084	0.0051	0	45.01	40.22	583981	M	Adygei.HO	Modern Westeurasian populations
Adg-226.HO	0.015	0.0551	0.0203	0.012	0.0046	0.0082	-0.0016	-0.0063	0.0038	0.0043	0	45.01	40.22	584741	F	Adygei.HO	Modern Westeurasian populations
ALB212.HO	-0.004	-0.0093	0.0184	0.0072	0.0012	-0.0048	0.0026	0.0028	0.0013	0.0016	0	41.33	19.83	592301	F	Albanian.HO	Modern Westeurasian populations
ALB220.HO	-0.0005	-0.0057	0.0101	-0.0022	0.001	-0.0001	-0.0001	-0.0017	-0.0005	-0.0005	0	41.33	19.83	592297	F	Albanian.HO	Modern Westeurasian populations
ALB213.HO	-0.0036	-0.0038	0.0159	0.005	0.0017	0.0005	-0.0001	-0.0015	0.0012	0.0048	0	41.33	19.83	591477	F	Albanian.HO	Modern Westeurasian populations
ALB202.HO	-0.0045	-0.0002	0.0177	0.0084	0.0043	-0.004	-0.0021	-0.0018	0.0041	0.0002	0	41.33	19.83	592145	M	Albanian.HO	Modern Westeurasian populations
ALB191.HO	-0.0076	0.0009	0.0117	0.0013	0.0008	0.0023	0.0007	-0.0001	-0.0026	0.0017	0	41.33	19.83	590447	F	Albanian.HO	Modern Westeurasian populations
ALB230.HO	-0.0067	-0.0058	0.0115	0.0026	0.0037	0.0021	0.0028	-0.0003	0.0006	0.0022	0	41.33	19.83	592459	F	Albanian.HO	Modern Westeurasian populations
armenia176.HO	0.0256	0.023	0.0266	0.0116	0.0069	0.0016	0.001	-0.0066	0.0052	0.002	0	40.193561	44.545441	592076	M	Armenian.HO	Modern Westeurasian populations
armenia191.HO	0.023	0.0269	0.0296	0.0112	0.01	0.001	-0.0008	-0.0066	0.0028	0.0024	0	40.193561	44.545441	592260	M	Armenian.HO	Modern Westeurasian populations
armenia86.HO	0.0227	0.0242	0.0257	0.0081	0.0014	0.0001	0.0005	-0.001	0.0056	0.006	0	40.193561	44.545441	592195	M	Armenian.HO	Modern Westeurasian populations
armenia91.HO	0.0288	0.0228	0.027	0.0148	0.0092	0.0045	-0.0009	-0.001	0.0031	-0.0022	0	40.193561	44.545441	592236	M	Armenian.HO	Modern Westeurasian populations
armenia293.HO	0.026	0.0313	0.0286	0.0061	0.0081	0.0062	-0.0045	-0.0088	0.0064	0.0055	0	40.193561	44.545441	588693	M	Armenian.HO	Modern Westeurasian populations
armenia102.HO	0.0217	0.0284	0.0283	0.0108	0.0015	-0.0008	0	-0.0051	0.0059	0.0028	0	40.193561	44.545441	589549	M	Armenian.HO	Modern Westeurasian populations
armenia279.HO	0.0304	0.0213	0.0255	0.0069	0.0047	0.0059	0.002	-0.0001	0.0005	0.0037	0	40.193561	44.545441	590726	M	Armenian.HO	Modern Westeurasian populations
armenia139.HO	0.029	0.0176	0.0265	0.0092	0.0025	0.0022	-0.0047	-0.0035	0.0003	-0.0006	0	40.193561	44.545441	592332	M	Armenian.HO	Modern Westeurasian populations
armenia106.HO	0.023	0.0287	0.0294	0.0107	0.0056	0.0017	-0.0037	-0.01	0.0069	0.0061	0	40.193561	44.545441	592270	M	Armenian.HO	Modern Westeurasian populations
armenia162.HO	0.0271	0.0259	0.0311	0.0146	0.005	0.0053	-0.0019	-0.0071	0.0032	0.0075	0	40.193561	44.545441	589702	M	Armenian.HO	Modern Westeurasian populations
Assyrian164.HO	0.0298	0.017	0.0199	0.012	0.0031	0.0052	-0.0049	-0.0011	-0.0005	0.0053	0	37.54	45.06	586671	M	Assyrian.HO	Modern Westeurasian populations
Assyrian152.HO	0.0281	0.0254	0.0268	0.0069	0.0034	0.0021	-0.0007	-0.0064	0.0001	-0.0047	0	37.28	43.54	586601	M	Assyrian.HO	Modern Westeurasian populations
Assyrian151.HO	0.0315	0.0235	0.0273	0.0138	0.0132	0.0065	-0.0009	-0.0015	-0.0062	0.0011	0	37.47	43.94	584159	F	Assyrian.HO	Modern Westeurasian populations
Assyrian159.HO	0.0323	0.0205	0.0228	0.0153	0.004	0.0017	0.0006	-0.0026	-0.0044	0.0039	0	37.1	43.45	586714	F	Assyrian.HO	Modern Westeurasian populations
Assyrian160.HO	0.0283	0.0307	0.0247	0.0052	0.0049	0.0021	-0.0086	-0.0049	-0.0023	0.0045	0	37.51	45.14	586763	M	Assyrian.HO	Modern Westeurasian populations
Assyrian161.HO	0.0297	0.0228	0.029	0.006	0.0025	-0.0002	-0.0006	-0.0066	-0.0015	-0.0012	0	37.7	45.18	586713	M	Assyrian.HO	Modern Westeurasian populations
Assyrian162.HO	0.0308	0.0211	0.0204	0.0091	-0.0001	-0.0001	0.0029	-0.0053	0.0044	0.0001	0	36.4	44.32	586642	M	Assyrian.HO	Modern Westeurasian populations
Assyrian163.HO	0.0285	0.0244	0.0239	0.0114	0.0087	0.0051	0.0032	-0.0015	0.0028	0.0076	0	37.56	44.28	586296	F	Assyrian.HO	Modern Westeurasian populations
Assyrian153.HO	0.0272	0.0221	0.0262	0.0073	0.003	0.0046	0.0008	0.002	0.0028	0.0024	0	37.56	44.28	586667	M	Assyrian.HO	Modern Westeurasian populations
Assyrian155.HO	0.0303	0.0157	0.0246	0.007	0.0039	0.0069	0.0009	-0.002	-0.0019	-0.0022	0	36.34	43.13	586409	M	Assyrian.HO	Modern Westeurasian populations
Assyrian165.HO	0.0292	0.0241	0.031	0.0105	0.007	0.0027	-0.0004	-0.0072	0.0006	0.0061	0	37.47	43.94	586745	F	Assyrian.HO	Modern Westeurasian populations
bal97.HO	0.0125	0.0554	0.0061	0.0055	0.0054	0.0048	-0.0024	0.0004	0.0044	0.0058	0	43.483333	43.616667	592287	M	Balkar.HO	Modern Westeurasian populations
bal124.HO	0.0081	0.0501	0.0091	0.007	0.0033	0.0062	-0.0001	-0.0018	0.0093	0.0032	0	43.483333	43.616667	589725	M	Balkar.HO	Modern Westeurasian populations
bal22.HO	0.0087	0.0517	0.0135	0.009	0.0069	0.002	0.0038	-0.0088	0.0037	0.0068	0	43.483333	43.616667	592305	M	Balkar.HO	Modern Westeurasian populations
bal50.HO	0.0064	0.0472	0.0133	0.0136	0.0063	0.008	-0.005	-0.0013	0.0086	0.0078	0	43.483333	43.616667	592240	M	Balkar.HO	Modern Westeurasian populations
bal102.HO	0.007	0.0511	0.0101	0.0105	0.0075	0.0065	-0.0025	-0.0056	0.0006	0.0043	0	43.483333	43.616667	591950	M	Balkar.HO	Modern Westeurasian populations
bal41.HO	0.0087	0.0532	0.0094	0.0008	0.0069	0.0047	-0.0031	-0.004	-0.0005	0.0037	0	43.483333	43.616667	590224	M	Balkar.HO	Modern Westeurasian populations
bal45.HO	0.0085	0.0539	0.0151	0.0062	0.0019	0.0041	-0.005	-0.0011	0.0074	0.0056	0	43.483333	43.616667	592165	M	Balkar.HO	Modern Westeurasian populations
bal42.HO	0.0077	0.0518	0.012	0.0001	-0.0025	-0.0004	-0.0054	0.0026	-0.0015	0.0043	0	43.483333	43.616667	592656	M	Balkar.HO	Modern Westeurasian populations
bal136.HO	0.0079	0.0503	0.0071	0.0115	0.0071	0.0057	0.0016	-0.0072	0.0077	0.0067	0	43.483333	43.616667	592388	M	Balkar.HO	Modern Westeurasian populations
bal64.HO	0.0082	0.0552	0.007	0.0041	0.0057	0.0079	-0.0071	-0.005	0.0049	0.0021	0	43.483333	43.616667	592320	M	Balkar.HO	Modern Westeurasian populations
HGDP01357.HO	-0.0235	-0.0448	0.0294	0.0057	0.0095	0.0004	0.0016	0.0024	-0.004	0.002	0	43	0	592741	M	Basque.HO	Modern Westeurasian populations
HGDP01371.HO	-0.0272	-0.039	0.0262	0.0076	0.0028	0.0056	-0.0028	-0.0045	0.0032	0.0024	0	43	0	588706	M	Basque.HO	Modern Westeurasian populations
BAS22.HO	-0.0267	-0.0435	0.0229	0.0035	0.0051	0.0057	0.0003	0.0011	0.0023	0	0	43.13	-2.08	591241	F	Basque.HO	Modern Westeurasian populations
HGDP01365.HO	-0.0241	-0.043	0.0284	0.0084	0.0067	0.0026	0.0012	0.0004	0.0009	-0.0048	0	43	0	591122	F	Basque.HO	Modern Westeurasian populations
HGDP01368.HO	-0.0234	-0.0386	0.0284	0.0038	0.0081	0.007	0.002	-0.0027	0.0012	0.0063	0	43	0	592294	U	Basque.HO	Modern Westeurasian populations
HGDP01358.HO	-0.0255	-0.0444	0.0232	0.0057	0.0024	0.0042	-0.0064	-0.0003	0.005	0.0025	0	43	0	591385	M	Basque.HO	Modern Westeurasian populations
HGDP01367.HO	-0.028	-0.0436	0.0287	0.0038	0.0069	0.004	-0.0008	0.0031	0.0013	0.0012	0	43	0	592328	F	Basque.HO	Modern Westeurasian populations
HGDP01359.HO	-0.0265	-0.0458	0.0277	-0.0004	0.0054	0.0021	0.0012	-0.004	0.0079	0.0031	0	43	0	587822	M	Basque.HO	Modern Westeurasian populations
HGDP01360.HO	-0.0307	-0.0479	0.0254	0.0063	0.0058	0.0051	-0.0003	-0.0002	-0.0015	0.0034	0	43	0	591483	M	Basque.HO	Modern Westeurasian populations
HGDP01362.HO	-0.0261	-0.0424	0.0263	0.0062	0.0063	0.0044	0.0019	0.0036	-0.0004	0.0028	0	43	0	592667	M	Basque.HO	Modern Westeurasian populations
HGDP01363.HO	-0.0254	-0.0429	0.0261	0.0075	0.01	0.0064	-0.0035	0.0028	0.0005	0.0039	0	43	0	591299	F	Basque.HO	Modern Westeurasian populations
HGDP01374.HO	-0.0257	-0.048	0.0236	0.0103	0.0034	0.0054	0.0001	0.0002	-0.0013	0.0025	0	43	0	591822	M	Basque.HO	Modern Westeurasian populations
HGDP01366.HO	-0.0262	-0.0423	0.023	0.0043	0.0074	0.0027	-0.0013	0.0014	0.0038	0.0059	0	43	0	591425	F	Basque.HO	Modern Westeurasian populations
HGDP01364.HO	-0.0212	-0.0405	0.0262	0.0049	0.006	0.0043	-0.0031	0.0001	0.0071	0.0071	0	43	0	590938	M	Basque.HO	Modern Westeurasian populations
HGDP01370.HO	-0.0255	-0.0454	0.0279	0.0066	0.0042	-0.0016	-0.0028	-0.0047	0.0041	0.0009	0	43	0	590848	M	Basque.HO	Modern Westeurasian populations
HGDP01375.HO	-0.0241	-0.0436	0.0312	0.0055	0.008	0.0057	-0.0039	-0.0035	0.0056	0.0032	0	43	0	592081	M	Basque.HO	Modern Westeurasian populations
HGDP01373.HO	-0.0255	-0.0464	0.025	0.0093	-0.0019	0.005	-0.0054	-0.0008	0.0026	0.0016	0	43	0	587210	F	Basque.HO	Modern Westeurasian populations
HGDP01378.HO	-0.0257	-0.041	0.0247	0.0103	0.0057	0.0016	-0.0016	0.0006	-0.0009	0.0043	0	43	0	592183	M	Basque.HO	Modern Westeurasian populations
BAS35.HO	-0.0275	-0.0439	0.0282	0.0049	0.0031	0.0054	0.0013	-0.0115	0.0053	0.0058	0	43.13	-2.08	589247	M	Basque.HO	Modern Westeurasian populations
BAS31.HO	-0.0269	-0.0458	0.0283	0.0089	0.0034	0.0017	-0.0033	0.0004	-0.0037	0.0042	0	43.13	-2.08	591075	F	Basque.HO	Modern Westeurasian populations
BAS25.HO	-0.0268	-0.0433	0.0284	0.0103	0.0028	0.0102	-0.0042	-0.0061	-0.0001	0.0033	0	43.13	-2.08	591351	M	Basque.HO	Modern Westeurasian populations
BAS32.HO	-0.024	-0.0471	0.032	0.0065	0.0025	0.0083	-0.0002	-0.0075	0.0006	0.002	0	43.13	-2.08	591631	M	Basque.HO	Modern Westeurasian populations
BAS30.HO	-0.0264	-0.0493	0.0237	0.0065	0.0103	0.0052	-0.0039	-0.0023	-0.0028	0.0007	0	43.13	-2.08	591999	F	Basque.HO	Modern Westeurasian populations
HGDP01377.HO	-0.0253	-0.0433	0.0293	0.0012	0.0054	0.0021	0.001	-0.0003	0.0015	0.0014	0	43	0	589606	M	Basque.HO	Modern Westeurasian populations
BAS27.HO	-0.0258	-0.0448	0.0313	0.0053	0.0071	0.0038	-0.0032	-0.0019	0.002	0.006	0	43.13	-2.08	592406	M	Basque.HO	Modern Westeurasian populations
BAS33.HO	-0.0245	-0.0436	0.0254	0.0063	0.0006	0.0041	0.0001	0.0025	0.0041	0.0062	0	43.13	-2.08	592522	F	Basque.HO	Modern Westeurasian populations
HGDP01379.HO	-0.0268	-0.0467	0.0276	0.007	0.0019	0.0019	0.001	-0.0043	0.002	0.0041	0	43	0	586641	M	Basque.HO	Modern Westeurasian populations
HGDP01380.HO	-0.025	-0.0468	0.0303	0.0069	0.0057	0.0042	0.0013	0.0027	0.0021	0.0009	0	43	0	591678	F	Basque.HO	Modern Westeurasian populations
BAS28.HO	-0.0264	-0.0435	0.0302	0.0031	0.0024	0.0095	-0.0026	-0.0024	0.0016	0.0038	0	43.13	-2.08	592321	F	Basque.HO	Modern Westeurasian populations
HGDP00638.HO	0.0666	-0.0507	-0.0842	-0.15	-0.1375	-0.149	0.2556	-0.2105	0.5838	-0.4846	0	31	35	591724	F	BedouinA.HO	Modern Westeurasian populations
HGDP00637.HO	0.0614	-0.027	-0.0603	-0.0785	-0.0118	-0.0226	0.0273	-0.0118	-0.068	-0.0301	0	31	35	592241	F	BedouinA.HO	Modern Westeurasian populations
HGDP00635.HO	0.0574	-0.0268	-0.0497	-0.0774	-0.0358	-0.0046	0.0079	-0.0438	0.0078	-0.0496	0	31	35	592316	F	BedouinA.HO	Modern Westeurasian populations
