sample	Nchr1	Nchr2	Nchr3	Nchr4	Nchr5	Nchr6	Nchr7	Nchr8	Nchr9	Nchr10	Nchr11	Nchr12	Nchr13	Nchr14	Nchr15	Nchr16	Nchr17	Nchr18	Nchr19	Nchr20	Nchr21	Nchr22	NchrX	NchrY	NchrMT	Nseqs
Sample1	602538	613676	497563	452314	443543	429972	394760	368068	295065	354923	352794	343801	236446	232682	213366	227054	227628	194942	173871	178052	98976	106318	173324	18178	3403	7233257
Sample2	473	399	262	191	242	228	291	234	217	241	297	219	119	162	157	252	296	135	284	151	74	144	148	9	0	5225
Sample3	1492088	1434624	1152734	1005813	1013699	1054265	943674	854286	711116	848726	870640	839786	524112	544980	534386	588034	621880	439605	521887	449604	227517	291935	793438	5562	7690	17772081
Sample4	287046	293271	236860	214990	210846	205383	188764	175694	141733	168419	168869	163903	112829	110835	101568	109463	109060	93265	82148	85432	47556	50627	83411	8697	1411	3452080
Sample5	98216	97188	77359	68692	68886	67205	62706	57881	47946	57311	57191	54437	36201	37700	34728	38924	39838	30538	32088	30451	16078	19517	27248	2781	616	1161726
Sample6	5001802	4800925	3884646	3339347	3376121	3815252	3176570	2847970	2363736	2841845	2959601	2872789	1736056	1786869	1826531	1958811	2026483	1453628	1658522	1471058	736261	916910	1307611	132119	17143	58308606
Sample7	168913	155417	122475	101864	106299	118140	104497	91887	79244	94872	99377	94550	54234	59331	60681	70214	74828	46956	64917	52156	24912	35586	41023	4059	615	1927047
Sample8	219106	218001	173363	154068	155060	151637	139846	130756	107256	128005	127485	121400	81750	82789	78313	86632	88503	68587	69364	67985	35927	42934	60457	6265	750	2596239
Sample9	271606	267860	213694	188943	191161	185934	174291	160581	133162	158614	158978	150954	100818	103456	96259	108448	111505	84738	89452	83658	44850	54495	73936	7731	1775	3216899
Sample10	100344	94013	74892	61425	67803	72283	62759	59553	51455	61201	57055	57127	35502	37976	37878	43547	44504	31233	37323	33533	16264	23757	43569	1598	501	1188476
Sample11	14815935	14616567	11638802	10106084	10350343	10219505	9426014	8798609	7311474	8732122	8720664	8250148	5374742	5615329	5353935	6042241	6138413	4598806	4937097	4708354	2386824	3059207	3993201	432593	68017	175695026
Sample12	274112	250563	200745	169164	172428	202132	176866	147547	128094	155673	162738	163427	86444	95361	103023	119134	128344	71821	120226	80109	39381	55419	68360	8243	631	3179985
Sample13	327210	313008	251587	217186	219314	255588	206833	185794	154587	185788	191685	186655	112338	117352	118371	130151	134482	95018	113385	96892	48778	61152	85613	8779	1268	3818814
Sample14	777659	762463	616408	546014	547210	539777	495599	461939	373189	447396	451581	442317	284592	291657	274116	297515	304558	239345	241971	231720	118607	142959	217208	22201	4211	9132212
Sample15	515932	476966	387705	324359	330050	404804	332100	282003	239623	292819	310187	309339	167590	175317	197058	217657	224290	138890	195113	147399	72797	95147	124872	13685	886	5976588
Sample16	85201	87046	69899	63642	62552	59660	55556	51892	42309	49960	49877	47981	33528	33018	30374	33080	32714	27741	25321	25434	13946	15820	25135	2455	356	1024497
Sample17	3925259	3634035	2891494	2415613	2508082	2779001	2448041	2148300	1836423	2212638	2321401	2213239	1264504	1379670	1428446	1609003	1709785	1088909	1486661	1203781	572098	812032	1918099	10860	12332	45829706
Sample18	1139130	1049942	848939	703890	719556	899345	732473	616877	526967	648957	684618	682246	365929	385182	438253	483783	508182	304095	444743	327110	160518	217008	538119	3056	2884	13431802
Sample19	22119206	22812494	18583265	16878868	16585222	16128929	14502379	13779560	10962690	13048041	13065265	12696950	8822362	8588201	7936444	8272250	8216698	7257550	6137585	6574363	3554217	3851447	6520893	686594	135400	267716873
Sample20	8634929	9002327	7352093	6813524	6581854	6380722	5731200	5412484	4288613	5071437	5055941	5012402	3556385	3386411	3080268	3175770	3186989	2856046	2373774	2498024	1410471	1449197	2593971	248493	45375	105198700
